Longitude,Latitude,Type,Name,Street,City,State,Zip_Code
-83.91108,35.963199,Halls of Fame,Women's Basketball Hall of Fame,700 Hall of Fame Dr,Knoxville,TN,37915
-90.050556,35.138333,NBA Stadium,FedExForum,191 Beale Street,Memphis,TN,38103
-88.817324,35.614779,Halls of Fame,Rockabilly Hall of Fame,105 N Church St,Jackson,TN,38301
-86.4347353,35.8435351,Verizon Locations,Verizon 300 River Rock Blvd,300 River Rock Blvd,Murfreesboro,TN,37128
-96.803324,32.792246,Best Restaurants,Fearing's,2121 McKinney Ave.,Dallas,TX,75201
-96.810278,32.790556,NBA Stadium,American Airlines Center,2500 Victory Avenue,Dallas,TX,75219
-97.071969,32.755497,Theme Park,Six Flags Over Texas,2201 Road to Six Flags St E,Arlington,TX,76011
-97.069489,32.751404,Halls of Fame,International Bowling Hall of Fame,621 Six Flags Dr,Arlington,TX,76011
-97.347028,32.788538,Halls of Fame,Texas Cowboy Hall of Fame,128 E Exchange Ave,Fort Worth,TX,76164
-97.117869,31.552739,Halls of Fame,Texas Sports Hall of Fame,1108 S University Parks Dr,Waco,TX,76706
-95.362222,29.750833,NBA Stadium,Toyota Center,1510 Polk Street,Houston,TX,77002
-95.376214,29.752518,Best Burgers,Christian's Tailgate Bar & Grill,2000 Bagby St,Houston,TX,77002
-95.399541,29.74295,Best Restaurants,Hugo's Regional Mexican Cuisine,1600 Westheimer Rd,Houston,TX,77006
-95.392986,29.744953,Best Restaurants,Underbelly,1100 Westheimer Rd,Houston,TX,77006
-95.398561,29.803277,Best Burgers,Becks Prime,115 W 19th St,Houston,TX,77008
-95.098214,29.551793,NASA Centers,NASA Johnson Space Center,1601 Nasa Parkway,Houston,TX,77058
-94.85417,29.270564,Halls of Fame,Texas Aviation Hall of Fame,2002 Terminal Dr,Galveston,TX,77554
-98.4375,29.426944,NBA Stadium,AT&T Center,1 AT&T Center Parkway,San Antonio,TX,78219
-98.699649,29.4584,Theme Park,SeaWorld San Antonio,10500 Sea World Dr,San Antonio,TX,78251
-98.59987,29.601,Theme Park,Six Flags Fiesta Texas,17000 IH-10 West,San Antonio,TX,78257
-97.75978,30.257521,Best Restaurants,Uchi,801 S Lamar Blvd,Austin,TX,78704
-101.808015,35.194223,Halls of Fame,American Quarter Horse Hall of Fame,2601 E Interstate 40,Amarillo,TX,79104
-101.845828,33.580236,Halls of Fame,College Baseball Hall Of Fame,1517 Texas Ave,Lubbock,TX,79401
-99.844,32.271653,Best Burgers,Perini Ranch Steakhouse,3002 Fm 89 #A,Buffalo Gap,TX,79508
-97.7999625,30.2421074,Verizon Locations,Verizon 3815 S Capital Of Texas Hwy,3815 S Capital Of Texas Hwy,Austin,TX,78704
-96.9519044,32.878619,Verizon Locations,Verizon 600 Hidden Ridge,600 Hidden Ridge,Irving,TX,75038
-96.9531655,32.8757848,Verizon Locations,Verizon 700 Hidden Ridge,700 Hidden Ridge,Irving,TX,75038
-96.704168,32.961564,Verizon Locations,Verizon 1201 E Arapaho Rd,1201 E Arapaho Rd,Richardson,TX,75081
-96.7036276,32.984634,Verizon Locations,Verizon 2400 N Glenville,2400 N Glenville,Richardson,TX,75082
-96.7072747,32.9542589,Verizon Locations,Verizon 400 International Pkwy,400 International Pkwy,Richardson,TX,75081
-98.4829715,29.5196773,Verizon Locations,Verizon 100 Ne Loop 410,100 Ne Loop 410,San Antonio,TX,78216
-97.0403352,32.8998091,Verizon Locations,Verizon 2200 W Airfield Dr Dock E,2200 W Airfield Dr Dock E,Dfw Airport,TX,75261
-95.4736889,29.739131,Verizon Locations,Verizon 5444 Westheimer,5444 Westheimer,Houston,TX,77056
-77.077792,38.893924,Best Burgers,Ray?s to the Third,1650 Wilson Blvd,Arlington,VA,22209
-78.160167,38.713626,Best Restaurants,Inn at Little Washington,309 Middle St,Washington,VA,22747
-77.443676,37.839752,Theme Park,Kings Dominion,16000 Theme Park Way,Doswell,VA,23047
-76.64448,37.23862,Theme Park,Busch Gardens Williamsburg,1 Busch Gardens Blvd.,Williamsburg,VA,23185
-76.636488,37.26166,Theme Park,Water Country USA,176 Water Country Pkwy,Williamsburg,VA,23185
-75.42492,37.93678,NASA Centers,Goddard Wallops Flight Facility,292W Wallops Island,Wallops Island,VA,23337
-76.39344,37.101406,NASA Centers,Langely Research Center,60 Wythe Creek Rd,Hampton,VA,23666
-76.344318,37.024009,NASA Centers,Virginia Air & Space Center,600 Settlers Landing Rd,Hampton,VA,23669
-76.299085,36.835745,Halls of Fame,Virginia Sports Hall of Fame and Museum,206 High St,Portsmouth,VA,23704
-77.52094,37.624795,Verizon Locations,Verizon 3011 Hungary Spring Rd,3011 Hungary Spring Rd,Richmond,VA,23228
-77.4709363,39.0105011,Verizon Locations,Verizon 22001 Loudoun County PKWY,22001 Loudoun County PKWY,Ashburn,VA,20147
-80.198,39.43057,NASA Centers,Goddard IV and V Facility,100 University Dr,Fairmont,WV,26554
